Borough,Month,Value
Newham,2015-09,2476
Newham,2015-10,2703
Newham,2015-11,2650
Newham,2015-12,2465
Newham,2016-01,2518
Newham,2016-02,2394
Newham,2016-03,2459
Newham,2016-04,2432
Newham,2016-05,2573
Newham,2016-06,2540
Newham,2016-07,2663
Newham,2016-08,2610
Newham,2016-09,2518
Newham,2016-10,2885
Newham,2016-11,2775
Newham,2016-12,2800
