Month,Year,Period,Home,Away,Result,Stadium,Borough
2,2016,12,Chelsea,Man United,D,Stamford Bridge,Hammersmith and Fulham
2,2016,12,Chelsea,Newcastle,H,Stamford Bridge,Hammersmith and Fulham
2,2016,12,Crystal Palace,Watford,A,Selhurst Park,Croydon
2,2016,12,Arsenal,Leicester,H,Emirates Stadium,Islington
2,2016,12,West Ham,Sunderland,H,Boleyn Ground,Newham
2,2016,12,Tottenham,Swansea,H,White Hart Lane,Haringey
3,2016,12,Arsenal,Swansea,A,Emirates Stadium,Islington
3,2016,12,West Ham,Tottenham,H,Boleyn Ground,Newham
3,2016,12,Chelsea,Stoke,D,Stamford Bridge,Hammersmith and Fulham
3,2016,12,Tottenham,Arsenal,D,White Hart Lane,Haringey
3,2016,13,Crystal Palace,Liverpool,A,Selhurst Park,Croydon
3,2016,13,Chelsea,West Ham,D,Stamford Bridge,Hammersmith and Fulham
3,2016,13,Crystal Palace,Leicester,A,Selhurst Park,Croydon
3,2016,13,Tottenham,Bournemouth,H,White Hart Lane,Haringey
4,2016,1,Arsenal,Watford,H,Emirates Stadium,Islington
4,2016,1,West Ham,Crystal Palace,D,Boleyn Ground,Newham
4,2016,1,Crystal Palace,Norwich,H,Selhurst Park,Croydon
4,2016,1,West Ham,Arsenal,D,Boleyn Ground,Newham
4,2016,1,Tottenham,Man United,H,White Hart Lane,Haringey
4,2016,1,Crystal Palace,Everton,D,Selhurst Park,Croydon
4,2016,1,Chelsea,Man City,A,Stamford Bridge,Hammersmith and Fulham
4,2016,1,Arsenal,Crystal Palace,D,Emirates Stadium,Islington
4,2016,1,West Ham,Watford,H,Boleyn Ground,Newham
4,2016,1,Arsenal,West Brom,H,Emirates Stadium,Islington
4,2016,1,Tottenham,West Brom,D,White Hart Lane,Haringey
4,2016,1,Arsenal,Norwich,H,Emirates Stadium,Islington
5,2016,2,Chelsea,Tottenham,D,Stamford Bridge,Hammersmith and Fulham
5,2016,2,Crystal Palace,Stoke,H,Selhurst Park,Croydon
5,2016,2,West Ham,Swansea,A,Boleyn Ground,Newham
5,2016,2,Tottenham,Southampton,A,White Hart Lane,Haringey
5,2016,2,West Ham,Man United,H,Boleyn Ground,Newham
5,2016,2,Arsenal,Aston Villa,H,Emirates Stadium,Islington
5,2016,2,Chelsea,Leicester,D,Stamford Bridge,Hammersmith and Fulham
8,2016,5,Crystal Palace,West Brom,A,Selhurst Park,Croydon
8,2016,5,Arsenal,Liverpool,A,Emirates Stadium,Islington
8,2016,5,Tottenham,Crystal Palace,H,White Hart Lane,Haringey
8,2016,5,Chelsea,West Ham,H,Stamford Bridge,Hammersmith and Fulham
8,2016,6,West Ham,Bournemouth,H,London Stadium,Newham
8,2016,6,Chelsea,Burnley,H,Stamford Bridge,Hammersmith and Fulham
8,2016,6,Crystal Palace,Bournemouth,D,Selhurst Park,Croydon
8,2016,6,Tottenham,Liverpool,D,White Hart Lane,Haringey
9,2016,6,Arsenal,Southampton,H,Emirates Stadium,Islington
9,2016,6,West Ham,Watford,A,London Stadium,Newham
9,2016,6,Chelsea,Liverpool,A,Stamford Bridge,Hammersmith and Fulham
9,2016,7,Crystal Palace,Stoke,H,Selhurst Park,Croydon
9,2016,7,Tottenham,Sunderland,H,White Hart Lane,Haringey
9,2016,7,Arsenal,Chelsea,H,Emirates Stadium,Islington
