Month,Year,Period,Home,Away,Result,Stadium,Borough
8,2011,5,Fulham,Aston Villa,D,Craven Cottage,Hammersmith & Fulham
8,2011,5,QPR,Bolton,A,Loftus Road,Hammersmith & Fulham
8,2011,5,Chelsea,West Brom,H,Stamford Bridge,Hammersmith & Fulham
8,2011,6,Chelsea,Norwich,H,Stamford Bridge,Hammersmith & Fulham
9,2011,6,Fulham,Blackburn,D,Craven Cottage,Hammersmith & Fulham
9,2011,6,QPR,Newcastle,D,Loftus Road,Hammersmith & Fulham
9,2011,7,Fulham,Man City,D,Craven Cottage,Hammersmith & Fulham
9,2011,7,Chelsea,Swansea,H,Stamford Bridge,Hammersmith & Fulham
9,2011,7,QPR,Aston Villa,D,Loftus Road,Hammersmith & Fulham
10,2011,7,Fulham,QPR,H,Craven Cottage,Hammersmith & Fulham
10,2011,7,Chelsea,Everton,H,Stamford Bridge,Hammersmith & Fulham
10,2011,7,QPR,Blackburn,D,Loftus Road,Hammersmith & Fulham
10,2011,8,Fulham,Everton,A,Craven Cottage,Hammersmith & Fulham
10,2011,8,QPR,Chelsea,H,Loftus Road,Hammersmith & Fulham
10,2011,8,Chelsea,Arsenal,A,Stamford Bridge,Hammersmith & Fulham
11,2011,8,QPR,Man City,A,Loftus Road,Hammersmith & Fulham
11,2011,8,Fulham,Tottenham,A,Craven Cottage,Hammersmith & Fulham
11,2011,9,Chelsea,Liverpool,A,Stamford Bridge,Hammersmith & Fulham
11,2011,9,Chelsea,Wolves,H,Stamford Bridge,Hammersmith & Fulham
12,2011,9,QPR,West Brom,D,Loftus Road,Hammersmith & Fulham
12,2011,9,Fulham,Liverpool,H,Craven Cottage,Hammersmith & Fulham
12,2011,10,Chelsea,Man City,H,Stamford Bridge,Hammersmith & Fulham
12,2011,10,Fulham,Bolton,H,Craven Cottage,Hammersmith & Fulham
12,2011,10,QPR,Man United,A,Loftus Road,Hammersmith & Fulham
12,2011,10,Fulham,Man United,A,Craven Cottage,Hammersmith & Fulham
12,2011,10,QPR,Sunderland,A,Loftus Road,Hammersmith & Fulham
12,2011,10,Chelsea,Fulham,D,Stamford Bridge,Hammersmith & Fulham
12,2011,10,Chelsea,Aston Villa,A,Stamford Bridge,Hammersmith & Fulham
1,2012,10,Fulham,Arsenal,H,Craven Cottage,Hammersmith & Fulham
1,2012,10,QPR,Norwich,A,Loftus Road,Hammersmith & Fulham
1,2012,11,Chelsea,Sunderland,H,Stamford Bridge,Hammersmith & Fulham
1,2012,11,Fulham,Newcastle,H,Craven Cottage,Hammersmith & Fulham
1,2012,11,QPR,Wigan,H,Loftus Road,Hammersmith & Fulham
2,2012,11,Fulham,West Brom,D,Craven Cottage,Hammersmith & Fulham
2,2012,11,QPR,Wolves,A,Loftus Road,Hammersmith & Fulham
2,2012,12,Chelsea,Man United,D,Stamford Bridge,Hammersmith & Fulham
2,2012,12,Fulham,Stoke,H,Craven Cottage,Hammersmith & Fulham
2,2012,12,Chelsea,Bolton,H,Stamford Bridge,Hammersmith & Fulham
2,2012,12,QPR,Fulham,A,Loftus Road,Hammersmith & Fulham
3,2012,12,QPR,Everton,D,Loftus Road,Hammersmith & Fulham
3,2012,13,Fulham,Wolves,H,Craven Cottage,Hammersmith & Fulham
3,2012,13,Chelsea,Stoke,H,Stamford Bridge,Hammersmith & Fulham
3,2012,13,Fulham,Swansea,A,Craven Cottage,Hammersmith & Fulham
3,2012,13,QPR,Liverpool,H,Loftus Road,Hammersmith & Fulham
3,2012,13,Chelsea,Tottenham,D,Stamford Bridge,Hammersmith & Fulham
3,2012,13,Fulham,Norwich,H,Craven Cottage,Hammersmith & Fulham
3,2012,13,QPR,Arsenal,H,Loftus Road,Hammersmith & Fulham
4,2012,1,Chelsea,Wigan,H,Stamford Bridge,Hammersmith & Fulham
4,2012,1,Fulham,Chelsea,D,Craven Cottage,Hammersmith & Fulham
4,2012,1,QPR,Swansea,H,Loftus Road,Hammersmith & Fulham
4,2012,1,Fulham,Wigan,H,Craven Cottage,Hammersmith & Fulham
4,2012,1,QPR,Tottenham,H,Loftus Road,Hammersmith & Fulham
4,2012,2,Chelsea,QPR,H,Stamford Bridge,Hammersmith & Fulham
5,2012,2,Chelsea,Newcastle,A,Stamford Bridge,Hammersmith & Fulham
5,2012,2,Fulham,Sunderland,H,Craven Cottage,Hammersmith & Fulham
5,2012,2,QPR,Stoke,H,Loftus Road,Hammersmith & Fulham
5,2012,2,Chelsea,Blackburn,H,Stamford Bridge,Hammersmith & Fulham
8,2011,6,Tottenham,Man City,A,White Hart Lane,Haringey
9,2011,7,Tottenham,Liverpool,H,White Hart Lane,Haringey
10,2011,7,Tottenham,Arsenal,H,White Hart Lane,Haringey
10,2011,8,Tottenham,QPR,H,White Hart Lane,Haringey
11,2011,9,Tottenham,Aston Villa,H,White Hart Lane,Haringey
12,2011,9,Tottenham,Bolton,H,White Hart Lane,Haringey
12,2011,10,Tottenham,Sunderland,H,White Hart Lane,Haringey
12,2011,10,Tottenham,Chelsea,D,White Hart Lane,Haringey
1,2012,10,Tottenham,West Brom,H,White Hart Lane,Haringey
1,2012,11,Tottenham,Everton,H,White Hart Lane,Haringey
1,2012,11,Tottenham,Wolves,D,White Hart Lane,Haringey
1,2012,11,Tottenham,Wigan,H,White Hart Lane,Haringey
2,2012,12,Tottenham,Newcastle,H,White Hart Lane,Haringey
3,2012,13,Tottenham,Man United,A,White Hart Lane,Haringey
3,2012,13,Tottenham,Stoke,D,White Hart Lane,Haringey
4,2012,1,Tottenham,Swansea,H,White Hart Lane,Haringey
4,2012,1,Tottenham,Norwich,A,White Hart Lane,Haringey
4,2012,2,Tottenham,Blackburn,H,White Hart Lane,Haringey
5,2012,2,Tottenham,Fulham,H,White Hart Lane,Haringey
8,2011,5,Arsenal,Liverpool,A,Emirates Stadium,Islington
9,2011,6,Arsenal,Swansea,H,Emirates Stadium,Islington
9,2011,7,Arsenal,Bolton,H,Emirates Stadium,Islington
10,2011,8,Arsenal,Sunderland,H,Emirates Stadium,Islington
10,2011,8,Arsenal,Stoke,H,Emirates Stadium,Islington
11,2011,8,Arsenal,West Brom,H,Emirates Stadium,Islington
11,2011,9,Arsenal,Fulham,D,Emirates Stadium,Islington
12,2011,9,Arsenal,Everton,H,Emirates Stadium,Islington
12,2011,10,Arsenal,Wolves,D,Emirates Stadium,Islington
12,2011,10,Arsenal,QPR,H,Emirates Stadium,Islington
1,2012,11,Arsenal,Man United,A,Emirates Stadium,Islington
2,2012,11,Arsenal,Blackburn,H,Emirates Stadium,Islington
2,2012,12,Arsenal,Tottenham,H,Emirates Stadium,Islington
3,2012,13,Arsenal,Newcastle,H,Emirates Stadium,Islington
3,2012,13,Arsenal,Aston Villa,H,Emirates Stadium,Islington
4,2012,1,Arsenal,Man City,H,Emirates Stadium,Islington
4,2012,1,Arsenal,Wigan,A,Emirates Stadium,Islington
4,2012,1,Arsenal,Chelsea,D,Emirates Stadium,Islington
5,2012,2,Arsenal,Norwich,D,Emirates Stadium,Islington
8,2012,5,Fulham,Norwich,H,Craven Cottage,Hammersmith and Fulham
8,2012,5,QPR,Swansea,A,Loftus Road,Hammersmith and Fulham
8,2012,6,Chelsea,Reading,H,Stamford Bridge,Hammersmith and Fulham
8,2012,6,Chelsea,Newcastle,H,Stamford Bridge,Hammersmith and Fulham
9,2012,6,Fulham,West Brom,H,Craven Cottage,Hammersmith and Fulham
9,2012,6,QPR,Chelsea,D,Loftus Road,Hammersmith and Fulham
9,2012,7,Chelsea,Stoke,H,Stamford Bridge,Hammersmith and Fulham
9,2012,7,Fulham,Man City,A,Craven Cottage,Hammersmith and Fulham
10,2012,7,QPR,West Ham,A,Loftus Road,Hammersmith and Fulham
10,2012,7,Chelsea,Norwich,H,Stamford Bridge,Hammersmith and Fulham
10,2012,8,Fulham,Aston Villa,H,Craven Cottage,Hammersmith and Fulham
10,2012,8,QPR,Everton,D,Loftus Road,Hammersmith and Fulham
10,2012,8,Chelsea,Man United,A,Stamford Bridge,Hammersmith and Fulham
11,2012,8,Fulham,Everton,D,Craven Cottage,Hammersmith and Fulham
11,2012,8,QPR,Reading,D,Loftus Road,Hammersmith and Fulham
11,2012,9,Chelsea,Liverpool,D,Stamford Bridge,Hammersmith and Fulham
11,2012,9,QPR,Southampton,A,Loftus Road,Hammersmith and Fulham
11,2012,9,Fulham,Sunderland,A,Craven Cottage,Hammersmith and Fulham
11,2012,9,Chelsea,Man City,D,Stamford Bridge,Hammersmith and Fulham
11,2012,9,Chelsea,Fulham,D,Stamford Bridge,Hammersmith and Fulham
12,2012,9,Fulham,Tottenham,A,Craven Cottage,Hammersmith and Fulham
12,2012,9,QPR,Aston Villa,D,Loftus Road,Hammersmith and Fulham
12,2012,10,Fulham,Newcastle,H,Craven Cottage,Hammersmith and Fulham
12,2012,10,QPR,Fulham,H,Loftus Road,Hammersmith and Fulham
12,2012,10,Chelsea,Aston Villa,H,Stamford Bridge,Hammersmith and Fulham
12,2012,10,Fulham,Southampton,D,Craven Cottage,Hammersmith and Fulham
12,2012,10,QPR,West Brom,A,Loftus Road,Hammersmith and Fulham
12,2012,10,Fulham,Swansea,A,Craven Cottage,Hammersmith and Fulham
12,2012,10,QPR,Liverpool,A,Loftus Road,Hammersmith and Fulham
1,2013,10,Chelsea,QPR,A,Stamford Bridge,Hammersmith and Fulham
1,2013,11,Fulham,Wigan,D,Craven Cottage,Hammersmith and Fulham
1,2013,11,QPR,Tottenham,D,Loftus Road,Hammersmith and Fulham
1,2013,11,Chelsea,Southampton,D,Stamford Bridge,Hammersmith and Fulham
1,2013,11,Chelsea,Arsenal,H,Stamford Bridge,Hammersmith and Fulham
1,2013,11,QPR,Man City,D,Loftus Road,Hammersmith and Fulham
1,2013,11,Fulham,West Ham,H,Craven Cottage,Hammersmith and Fulham
2,2013,11,Fulham,Man United,A,Craven Cottage,Hammersmith and Fulham
2,2013,11,QPR,Norwich,D,Loftus Road,Hammersmith and Fulham
2,2013,12,Chelsea,Wigan,H,Stamford Bridge,Hammersmith and Fulham
2,2013,12,Fulham,Stoke,H,Craven Cottage,Hammersmith and Fulham
2,2013,12,QPR,Man United,A,Loftus Road,Hammersmith and Fulham
3,2013,12,Chelsea,West Brom,H,Stamford Bridge,Hammersmith and Fulham
3,2013,13,QPR,Sunderland,H,Loftus Road,Hammersmith and Fulham
3,2013,13,Chelsea,West Ham,H,Stamford Bridge,Hammersmith and Fulham
4,2013,1,Fulham,QPR,H,Craven Cottage,Hammersmith and Fulham
4,2013,1,Chelsea,Sunderland,H,Stamford Bridge,Hammersmith and Fulham
4,2013,1,QPR,Wigan,D,Loftus Road,Hammersmith and Fulham
4,2013,1,Fulham,Chelsea,A,Craven Cottage,Hammersmith and Fulham
4,2013,1,Fulham,Arsenal,A,Craven Cottage,Hammersmith and Fulham
4,2013,1,QPR,Stoke,A,Loftus Road,Hammersmith and Fulham
4,2013,2,Chelsea,Swansea,H,Stamford Bridge,Hammersmith and Fulham
5,2013,2,Fulham,Reading,A,Craven Cottage,Hammersmith and Fulham
5,2013,2,QPR,Arsenal,A,Loftus Road,Hammersmith and Fulham
5,2013,2,Chelsea,Tottenham,D,Stamford Bridge,Hammersmith and Fulham
5,2013,2,Fulham,Liverpool,A,Craven Cottage,Hammersmith and Fulham
5,2013,2,QPR,Newcastle,A,Loftus Road,Hammersmith and Fulham
5,2013,2,Chelsea,Everton,H,Stamford Bridge,Hammersmith and Fulham
8,2012,6,Tottenham,West Brom,D,White Hart Lane,Haringey
9,2012,6,Tottenham,Norwich,D,White Hart Lane,Haringey
9,2012,7,Tottenham,QPR,H,White Hart Lane,Haringey
10,2012,7,Tottenham,Aston Villa,H,White Hart Lane,Haringey
10,2012,8,Tottenham,Chelsea,A,White Hart Lane,Haringey
11,2012,8,Tottenham,Wigan,A,White Hart Lane,Haringey
11,2012,9,Tottenham,West Ham,H,White Hart Lane,Haringey
11,2012,9,Tottenham,Liverpool,H,White Hart Lane,Haringey
12,2012,10,Tottenham,Swansea,H,White Hart Lane,Haringey
12,2012,10,Tottenham,Stoke,D,White Hart Lane,Haringey
1,2013,10,Tottenham,Reading,H,White Hart Lane,Haringey
1,2013,11,Tottenham,Man United,D,White Hart Lane,Haringey
2,2013,12,Tottenham,Newcastle,H,White Hart Lane,Haringey
3,2013,13,Tottenham,Arsenal,H,White Hart Lane,Haringey
3,2013,13,Tottenham,Fulham,A,White Hart Lane,Haringey
4,2013,1,Tottenham,Everton,D,White Hart Lane,Haringey
4,2013,1,Tottenham,Man City,H,White Hart Lane,Haringey
5,2013,2,Tottenham,Southampton,H,White Hart Lane,Haringey
5,2013,2,Tottenham,Sunderland,H,White Hart Lane,Haringey
8,2012,5,Arsenal,Sunderland,D,Emirates Stadium,Islington
9,2012,6,Arsenal,Southampton,H,Emirates Stadium,Islington
9,2012,7,Arsenal,Chelsea,A,Emirates Stadium,Islington
10,2012,8,Arsenal,QPR,H,Emirates Stadium,Islington
11,2012,8,Arsenal,Fulham,D,Emirates Stadium,Islington
11,2012,9,Arsenal,Tottenham,H,Emirates Stadium,Islington
12,2012,9,Arsenal,Swansea,A,Emirates Stadium,Islington
12,2012,9,Arsenal,West Brom,H,Emirates Stadium,Islington
12,2012,10,Arsenal,Newcastle,H,Emirates Stadium,Islington
1,2013,11,Arsenal,Man City,A,Emirates Stadium,Islington
1,2013,11,Arsenal,West Ham,H,Emirates Stadium,Islington
1,2013,11,Arsenal,Liverpool,D,Emirates Stadium,Islington
2,2013,11,Arsenal,Stoke,H,Emirates Stadium,Islington
2,2013,12,Arsenal,Aston Villa,H,Emirates Stadium,Islington
3,2013,13,Arsenal,Reading,H,Emirates Stadium,Islington
4,2013,1,Arsenal,Norwich,H,Emirates Stadium,Islington
4,2013,1,Arsenal,Everton,D,Emirates Stadium,Islington
4,2013,2,Arsenal,Man United,D,Emirates Stadium,Islington
5,2013,2,Arsenal,Wigan,H,Emirates Stadium,Islington
8,2012,5,West Ham,Aston Villa,H,Boleyn Ground,Newham
9,2012,6,West Ham,Fulham,H,Boleyn Ground,Newham
9,2012,7,West Ham,Sunderland,D,Boleyn Ground,Newham
10,2012,7,West Ham,Arsenal,A,Boleyn Ground,Newham
10,2012,8,West Ham,Southampton,H,Boleyn Ground,Newham
11,2012,8,West Ham,Man City,D,Boleyn Ground,Newham
11,2012,9,West Ham,Stoke,D,Boleyn Ground,Newham
12,2012,9,West Ham,Chelsea,H,Boleyn Ground,Newham
12,2012,10,West Ham,Liverpool,A,Boleyn Ground,Newham
12,2012,10,West Ham,Everton,A,Boleyn Ground,Newham
1,2013,10,West Ham,Norwich,H,Boleyn Ground,Newham
1,2013,11,West Ham,QPR,D,Boleyn Ground,Newham
2,2013,12,West Ham,Swansea,H,Boleyn Ground,Newham
2,2013,12,West Ham,Tottenham,A,Boleyn Ground,Newham
3,2013,13,West Ham,West Brom,H,Boleyn Ground,Newham
4,2013,1,West Ham,Man United,D,Boleyn Ground,Newham
4,2013,1,West Ham,Wigan,H,Boleyn Ground,Newham
5,2013,2,West Ham,Newcastle,D,Boleyn Ground,Newham
5,2013,2,West Ham,Reading,H,Boleyn Ground,Newham
8,2013,6,Arsenal,Aston Villa,A,Emirates Stadium,Islington
8,2013,6,West Ham,Cardiff,H,Boleyn Ground,Newham
8,2013,6,Chelsea,Hull,H,Stamford Bridge,Hammersmith and Fulham
8,2013,6,Crystal Palace,Tottenham,A,Selhurst Park,Croydon
8,2013,6,Chelsea,Aston Villa,H,Stamford Bridge,Hammersmith and Fulham
8,2013,6,Fulham,Arsenal,A,Craven Cottage,Hammersmith and Fulham
8,2013,6,Tottenham,Swansea,H,White Hart Lane,Haringey
8,2013,6,Crystal Palace,Sunderland,H,Selhurst Park,Croydon
8,2013,6,West Ham,Stoke,A,Boleyn Ground,Newham
9,2013,6,Arsenal,Tottenham,H,Emirates Stadium,Islington
9,2013,7,Fulham,West Brom,D,Craven Cottage,Hammersmith and Fulham
9,2013,7,Tottenham,Norwich,H,White Hart Lane,Haringey
9,2013,7,Chelsea,Fulham,H,Stamford Bridge,Hammersmith and Fulham
9,2013,7,West Ham,Everton,A,Boleyn Ground,Newham
9,2013,7,Arsenal,Stoke,H,Emirates Stadium,Islington
9,2013,7,Crystal Palace,Swansea,A,Selhurst Park,Croydon
9,2013,7,Fulham,Cardiff,A,Craven Cottage,Hammersmith and Fulham
9,2013,7,Tottenham,Chelsea,D,White Hart Lane,Haringey
10,2013,7,Fulham,Stoke,H,Craven Cottage,Hammersmith and Fulham
10,2013,7,Tottenham,West Ham,A,White Hart Lane,Haringey
10,2013,8,Arsenal,Norwich,H,Emirates Stadium,Islington
10,2013,8,Chelsea,Cardiff,H,Stamford Bridge,Hammersmith and Fulham
10,2013,8,West Ham,Man City,A,Boleyn Ground,Newham
10,2013,8,Crystal Palace,Fulham,A,Selhurst Park,Croydon
10,2013,8,Crystal Palace,Arsenal,A,Selhurst Park,Croydon
10,2013,8,Chelsea,Man City,H,Stamford Bridge,Hammersmith and Fulham
10,2013,8,Tottenham,Hull,H,White Hart Lane,Haringey
11,2013,8,Arsenal,Liverpool,H,Emirates Stadium,Islington
11,2013,8,Fulham,Man United,A,Craven Cottage,Hammersmith and Fulham
11,2013,8,West Ham,Aston Villa,D,Boleyn Ground,Newham
11,2013,8,Chelsea,West Brom,D,Stamford Bridge,Hammersmith and Fulham
11,2013,8,Crystal Palace,Everton,D,Selhurst Park,Croydon
11,2013,9,Tottenham,Newcastle,A,White Hart Lane,Haringey
11,2013,9,Arsenal,Southampton,H,Emirates Stadium,Islington
11,2013,9,Fulham,Swansea,A,Craven Cottage,Hammersmith and Fulham
11,2013,9,West Ham,Chelsea,A,Boleyn Ground,Newham
11,2013,9,West Ham,Fulham,H,Boleyn Ground,Newham
12,2013,9,Chelsea,Southampton,H,Stamford Bridge,Hammersmith and Fulham
12,2013,9,Tottenham,Man United,D,White Hart Lane,Haringey
12,2013,9,Crystal Palace,West Ham,H,Selhurst Park,Croydon
12,2013,9,Arsenal,Hull,H,Emirates Stadium,Islington
12,2013,9,Fulham,Tottenham,A,Craven Cottage,Hammersmith and Fulham
12,2013,9,Crystal Palace,Cardiff,H,Selhurst Park,Croydon
12,2013,10,Arsenal,Everton,D,Emirates Stadium,Islington
12,2013,10,Fulham,Aston Villa,H,Craven Cottage,Hammersmith and Fulham
12,2013,10,Chelsea,Crystal Palace,H,Stamford Bridge,Hammersmith and Fulham
12,2013,10,West Ham,Sunderland,D,Boleyn Ground,Newham
12,2013,10,Tottenham,Liverpool,A,White Hart Lane,Haringey
12,2013,10,Crystal Palace,Newcastle,A,Selhurst Park,Croydon
12,2013,10,Fulham,Man City,A,Craven Cottage,Hammersmith and Fulham
12,2013,10,Arsenal,Chelsea,D,Emirates Stadium,Islington
12,2013,10,Chelsea,Swansea,H,Stamford Bridge,Hammersmith and Fulham
12,2013,10,Tottenham,West Brom,D,White Hart Lane,Haringey
12,2013,10,West Ham,Arsenal,A,Boleyn Ground,Newham
12,2013,10,West Ham,West Brom,D,Boleyn Ground,Newham
12,2013,10,Chelsea,Liverpool,H,Stamford Bridge,Hammersmith and Fulham
12,2013,10,Tottenham,Stoke,H,White Hart Lane,Haringey
1,2014,10,Arsenal,Cardiff,H,Emirates Stadium,Islington
